Model,Accuracy,Precision (W),Recall (W),F1 (W),F1 (Macro),AUC (Macro)
Random Forest,0.9996803974030006,0.9996852150559007,0.9996803974030006,0.9996818732131048,0.9957929215727088,0.9999989611384278
XGBoost,0.999689528905772,0.999696752989893,0.999689528905772,0.9996914522181589,0.9959381498925353,0.9999987292484656
GAT,0.9534110728602606,0.9644852447196178,0.9534110728602606,0.9558187730080902,0.8731958465554208,0.9984881931871339
